Time,Live threads
45098.479939,23
45098.479985,23
45098.480031,23
45098.480078,49
45098.480124,49
45098.480170,49
45098.480216,49
45098.480263,49
45098.480309,49
45098.480355,49
45098.480402,49
45098.480448,49
45098.480494,49
45098.480541,49
45098.480587,49
45098.480634,49
45098.480680,49
45098.480726,49
45098.480772,54
45098.480819,54
45098.480865,54
45098.480911,54
45098.480957,54
45098.481004,52
45098.481050,52
45098.481097,52
45098.481143,52
45098.481189,52
45098.481235,52
45098.481282,52
45098.481328,52
45098.481374,52
45098.481421,52
45098.481467,52
45098.481513,52
45098.481560,52
45098.481606,52
45098.481652,52
45098.481699,52
45098.481745,52
45098.481791,52
45098.481838,52
45098.481884,52
45098.481930,52
45098.481976,52
45098.482023,52
45098.482069,52
45098.482115,52
45098.482162,52
45098.482208,52
45098.482254,52
45098.482301,52
45098.482347,52
45098.482393,52
45098.482440,52
45098.482486,52
45098.482532,52
45098.482579,52
45098.482625,52
45098.482671,52
45098.482718,52
45098.482764,52
45098.482810,52
45098.482857,52
45098.482903,52
45098.482949,52
45098.482995,52
45098.483042,52
45098.483088,52
45098.483134,52
45098.483181,52
45098.483228,52
45098.483273,52
45098.483320,52
45098.483366,52
45098.483412,52
45098.483459,52
45098.483505,52
45098.483551,52
45098.483598,52
45098.483644,52
45098.483691,52
45098.483737,52
45098.483783,52
45098.483829,52
45098.483876,52
45098.483922,52
45098.483968,52
45098.484015,52
45098.484061,52
45098.484107,52
45098.484154,52
45098.484200,52
45098.484246,52
45098.484292,52
45098.484339,52
45098.484385,52
45098.484431,52
45098.484478,52
45098.484524,52
45098.484570,52
45098.484617,52
45098.484663,52
45098.484709,52
45098.484756,52
45098.484802,52
45098.484848,52
45098.484895,52
45098.484941,52
45098.484987,52
45098.485033,52
45098.485080,52
45098.485126,52
45098.485173,52
45098.485220,52
45098.485265,52
45098.485311,52
45098.485358,52
45098.485404,52
45098.485451,52
45098.485497,52
45098.485543,52
45098.485589,52
45098.485636,52
45098.485682,52
45098.485728,52
45098.485775,52
45098.485821,52
45098.485867,52
45098.485914,52
45098.485960,52
45098.486006,52
